Formula target PBE cell_range_Electronegativity cell_mean_Electronegativity cell_mean_MeltingT cell_mean_GSvolume_pa cell_range_Number cell_Max_Electronegativity cell_Max_CovalentRadius cell_Max_GSvolume_pa cell_reduce_MeltingT
S2Zr1 1.8447930000000001 0.96 1.276667 1.081667 484.12 12.461458 2.666667 1.72 70.0 17.19125 189.67521399999998
Ge1Se1 3.039021 2.28 0.27 1.14 426.35 12.23125 1.0 1.275 60.0 12.96 175.451976
Cl6Os2 1.634768 1.08 1.82 1.46 477.6 10.947813 6.25 2.37 76.5 18.373125 111.359454
Cr2I2S2 2.0665400000000003 0.45 0.333333 0.766667 328.356667 8.887986 12.333333 0.886667 46.333333 14.338332999999999 59.326471
Mo1O2 1.585265 0.84 1.573333 1.506667 500.933333 5.65 8.666667 2.293333 51.333333 6.07 35.201136
O2Rh2 1.050343 0.27 0.58 1.43 572.95 5.68625 18.5 1.72 71.0 6.82 26.744829
Cl2Se2V2 1.010059 0.19 0.51 0.8155560000000001 316.51111099999997 7.0475 5.6666669999999995 1.053333 51.0 8.64 40.112882
Se2Ti1 0.36646799999999996 0.2 1.186667 1.106667 488.166667 11.421667 15.333332999999998 1.7 80.0 17.28 218.243769
O2Zr1 6.104867 4.4 1.85 1.368333 372.933333 6.900833 8.0 2.293333 58.333332999999996 7.731667 34.743891999999995
O2Pd1 3.124283 1.96 1.56 1.513333 322.941667 5.436667 10.0 2.293333 46.333333 6.07 34.466885
Ba1Br2 5.325743 4.2 1.676667 1.135 255.26666699999998 20.425 4.6666669999999995 1.9733330000000002 80.0 21.196667 115.696004
As1Ga1 2.093156 1.19 0.185 0.9975 348.2275 10.258125 1.0 1.09 61.0 11.0875 118.518749
In2P6 1.434506 0.76 1.1975 1.04375 172.70625 11.496339 1.0 1.6425 80.25 16.927679 74.02001700000001
Bi2Pb2Se5 1.319402 0.8 0.967778 0.7944439999999999 176.29703700000002 9.322963 0.666667 1.416667 66.666667 14.4 51.540844
S1Se1W1 2.161547 1.65 0.07333300000000001 0.8322219999999999 508.59555599999993 7.528542 19.333333 0.86 54.0 8.64 68.448266
Ga2I6 1.071616 0.34 1.5425 1.22375 182.9325 18.487813 32.0 1.995 104.25 32.26125 60.053264
Bi2I2Se2 2.586566 1.81 0.213333 0.803333 158.36111100000002 11.320556 16.333333 0.886667 49.333333 14.338332999999999 51.710392999999996
In2S2 2.5594799999999998 1.72 0.4 1.09 204.5275 12.511719 16.5 1.29 71.0 12.893436999999999 102.001999
S2V2 1.0140209999999998 0.47 0.475 1.0525 642.84 9.699219 3.5 1.29 76.5 12.893436999999999 164.852428
I6Pt2 0.14637999999999998 0.03 1.425 1.2825 400.24375 18.008125 20.25 1.995 104.25 32.26125 184.976871
Br2Ni1 2.437035 1.24 1.336667 1.305 376.6 11.546667 14.0 1.9733330000000002 80.0 19.653333 135.511418
Rh2Se2 0.84383 0.27 0.135 1.2075 682.75 9.89 5.5 1.275 71.0 12.96 202.32112800000002
Cr2Si2Te6 1.475655 0.39 0.9279999999999999 0.657333 402.332 9.061333 28.4 1.26 82.8 20.858 132.21019099999998
Br2Ge2O2 0.031447 0.01 0.476667 0.934444 170.222222 6.843333 9.0 1.146667 40.0 9.826667 14.596903
Sb2Se1Te2 1.119535 0.62 0.33 0.723333 249.792 10.571111 14.0 0.84 55.6 13.905332999999999 61.173083999999996
Br2N2Sn2 2.751346 1.86 0.36 0.884444 92.658889 8.614861 14.333332999999998 1.013333 46.333333 11.095 15.430284
Cl2Er2S2 4.088964 3.05 0.64 0.775556 258.884444 8.985486 17.333333 1.053333 63.0 10.195 37.171648
Hf1S2 2.131685 1.35 1.286667 1.076667 547.12 12.295625 13.333332999999998 1.72 70.0 17.19125 197.647106
Cl6Y2 5.836614 4.42 2.065 1.3375 289.225 13.232187 3.0 2.37 76.5 18.373125 100.06539000000001
Au1O2 0.037663 0.01 1.446667 1.57 241.155 5.818333 21.0 2.293333 45.333333 6.07 33.766058
O2Ti1 2.587488 1.49 1.78 1.403333 341.766667 5.816667 2.0 2.293333 53.333332999999996 6.07 34.580708
Br2Dy2S2 3.944515 2.93 0.58 0.751111 259.90666699999997 9.611875 16.666667 0.986667 64.0 10.413333 48.095679
O2Zr1 3.159884 1.7 1.85 1.368333 372.933333 6.900833 8.0 2.293333 58.333332999999996 7.731667 34.743891999999995
Br2Mn1 3.562445 2.28 1.456667 1.245 341.766667 11.574598 15.0 1.9733330000000002 80.0 19.653333 131.26246
Hg1I2 2.312622 1.4 1.106667 1.22 168.003333 18.544598 8.666667 1.7733330000000003 92.666667 28.676667 59.950326000000004
Cr2I2O2 2.312957 0.51 0.593333 0.8622219999999999 291.294444 7.034444000000001 15.0 1.146667 46.333333 14.338332999999999 15.655426
Al2Cl4 2.664283 1.95 1.57 1.321667 212.778333 10.9125 7.0 2.106667 68.0 16.331667000000003 83.646493
C1O2Ta2 0.013691 0.01 0.866 0.828667 700.84 4.006 28.0 1.376 68.0 7.247999999999999 20.969553
Br2H4Tb2 2.4539470000000003 1.77 0.7975 0.714167 160.235 6.203889 15.75 1.1 48.5 7.9341669999999995 6.239877
Sc1Te2 0.13029000000000002 0.01 0.946667 0.926667 543.22 15.293610999999999 27.666666999999997 1.4 92.0 23.175556 268.134711
Pd1Se2 1.173222 0.53 0.966667 1.216667 469.341667 11.041667 7.3333330000000005 1.7 80.0 17.28 213.78803599999998
Al2I6 3.363579 2.42 1.5925 1.19875 261.7525 18.190625 36.5 1.995 104.25 32.26125 129.337185
I3P1 3.4249949999999996 2.42 1.4475 1.27125 184.73125 18.951905 36.0 1.995 104.25 32.26125 62.293622
Ni1S2 1.071531 0.39 1.083333 1.178333 417.453333 10.315625 1.333333 1.72 70.0 17.19125 178.619055
S2V1 0.425178 0.22 1.176667 1.131667 493.28666699999997 10.763958 3.0 1.72 70.0 17.19125 190.96173100000001
B1N1 5.701716 4.65 0.5 1.27 602.7625 5.485313 1.0 1.52 42.0 7.384375 30.700608000000003
S1Se1V1 0.6689039999999999 0.42 0.31666700000000003 0.751111 340.595556 7.190764 6.0 0.86 51.0 8.64 65.911229
C2O2Ti3 0.44464799999999993 0.22 0.322857 0.7904760000000001 646.6 3.788571 7.714286 0.982857 68.57142900000001 7.152857000000001 15.154670999999999
Bi4Se6 1.84727 1.15 0.722 1.169 257.08 14.366 12.8 1.53 72.0 15.552 125.533033
Br4O2 3.117946 1.77 0.826667 1.56 97.733333 11.344167 20.666667 1.9733330000000002 80.0 19.653333 16.559618
C1O2Zr2 1.7207009999999998 0.97 0.866 0.8059999999999999 545.906667 4.6826669999999995 14.8 1.376 70.0 9.277999999999999 20.788671
Cl2Ge1 3.6212230000000005 2.63 1.436667 1.388333 259.1 12.0 0.666667 2.106667 68.0 16.331667000000003 89.144577
Bi2Pb1Se4 1.461926 0.93 1.1242860000000001 0.789048 174.54333300000002 9.41381 12.0 1.457143 68.57142900000001 14.811429 46.23973
Br6Rh2 2.870975 2.03 1.65 1.395 379.3 12.76 15.0 2.22 90.0 22.11 146.963469
Se2Zr2 0.44159799999999994 0.11 0.61 0.97 655.5 12.27875 3.0 1.275 87.5 12.96 200.463768
H2Mg5O6 3.7619839999999996 2.57 1.249231 0.81 127.482564 4.674615 4.461538 1.587692 54.230768999999995 8.803846 1.975079
I6Ir2 2.647466 1.93 1.445 1.2725 487.44375 17.906875 20.5 1.995 104.25 32.26125 203.78931200000002
As4O6 5.191498 3.89 1.192 1.4680000000000002 234.44 7.1665 8.4 2.064 47.6 8.87 30.574305
F2O2U1 4.897671 2.21 1.3159999999999998 1.081333 108.30666699999999 3.8433330000000003 15.2 1.5919999999999999 39.2 4.005 10.427469
Cl2Rh2S2 1.3871799999999999 0.5 0.293333 0.8911110000000001 310.773333 7.102708 9.666667 1.053333 47.333333 8.595625 37.667066999999996
Cl2In2Se2 1.879028 1.08 0.46 0.8322219999999999 121.705556 8.2975 10.666667 1.053333 47.333333 8.64 32.748022999999996
Co1O2 2.7580270000000002 1.43 1.666667 1.46 312.933333 4.7425 3.666667 2.293333 44.0 6.07 34.400795
Br2Sr1 5.504455999999999 4.38 1.656667 1.145 263.6 18.865 10.666667 1.9733330000000002 80.0 19.653333 117.64036399999999
Cl2N2Pt2 1.493005 0.61 0.293333 0.9422219999999999 252.894444 6.031806 23.666667 1.053333 45.333333 8.165833000000001 15.030048999999998
O3Te1 2.4243810000000003 0.85 2.055 1.5525 110.8825 7.759792 7.0 2.58 49.5 8.690833 33.482883
Br2Hg1 2.664669 1.71 1.306667 1.32 127.653333 14.032931 3.333333 1.9733330000000002 80.0 19.653333 54.21128100000001
Br6In2 3.233692 2.18 1.775 1.3325 153.39375 14.0875 14.0 2.22 90.0 22.11 69.812706
Sn2Te2 1.12095 0.61 0.07 1.015 306.935 17.012082999999997 1.0 1.05 69.5 17.381667 148.647561
C1F2Sc2 1.991596 1.29 1.082 0.882 503.866667 4.635 7.2 1.5919999999999999 68.0 8.894 20.236764
Pt1Te2 1.1593639999999998 0.61 0.64 1.08 581.12 14.091110999999998 8.666667 1.4 92.0 23.175556 282.06798399999997
Ca1I2 5.135662 3.92 1.44 1.053333 314.783333 20.633333 28.666666999999997 1.7733330000000003 92.666667 28.676667 152.252078
Al2Mg1Se4 2.124916 1.21 1.27 0.701429 226.94952400000003 7.596667 17.714285999999998 1.457143 68.57142900000001 14.811429 67.22270400000001
Cl4Mn2 3.899488 2.54 1.59 1.311667 310.366667 9.913764 3.0 2.106667 68.0 16.331667000000003 93.316293
Br2Zn1 3.848404 2.82 1.423333 1.261667 204.04666699999999 12.153333 13.333332999999998 1.9733330000000002 80.0 19.653333 100.257209
Cl6Ga2 5.600344000000001 4.13 1.9175 1.41125 102.21375 11.54375 5.0 2.37 76.5 18.373125 47.675236
Hf1Se2 1.322175 0.64 1.266667 1.066667 582.333333 12.34 1.333333 1.7 80.0 17.28 236.207594
S2W1 2.5894150000000002 1.76 0.933333 1.253333 745.286667 11.270625 14.0 1.72 70.0 17.19125 213.93560699999998
S2Sc2 0.929982 0.64 0.61 0.985 550.59 12.005469 2.5 1.29 85.0 12.893436999999999 159.93866599999998
Bi2Se2 0.675189 0.43 0.265 1.1425 259.6 14.7175 24.5 1.275 74.0 16.475 129.494222
Mo1Te2 1.498748 1.07 0.68 1.06 723.553333 14.202778 20.666667 1.4 92.0 23.175556 321.380496
As2Cl6 5.023137999999999 3.86 1.825 1.4575 200.6 11.958437 4.5 2.37 76.5 18.373125 87.414631
Br2O2Tl2 1.8545189999999998 0.89 0.606667 0.8911110000000001 99.733333 7.277222 24.333333 1.146667 48.333333 9.826667 14.038927
Br6Sc2 3.9523980000000005 3.0 1.88 1.28 326.425 13.834375 21.0 2.22 90.0 22.11 138.47779
Bi2Cl2O2 3.685662 2.71 0.473333 0.957778 85.644444 7.394722 25.0 1.146667 49.333333 10.983333 12.863772
Cl6Mn2 2.874908 1.5 1.9825 1.37875 254.225 10.497511 6.5 2.37 76.5 18.373125 96.123168
Ca2Sn2 0.158572 0.01 0.48 0.74 405.02 17.76375 15.0 0.98 88.0 18.885 173.807528
Ge1Te1 2.349707 1.66 0.045 1.0275 483.515 14.442082999999998 10.0 1.05 69.0 17.381667 226.319329
Cd1I2 2.912878 1.86 1.21 1.168333 227.98666699999998 17.5875 19.333333 1.7733330000000003 92.666667 28.676667 112.03092099999999
Cl6Ru2 1.970102 1.2 1.82 1.46 390.225 10.875313 1.75 2.37 76.5 18.373125 107.476744
Al2Br2Se2 2.354818 1.49 0.45 0.791111 188.14111100000002 7.986667 7.3333330000000005 0.986667 40.333333 9.826667 48.606521
Br2Hf2N2 2.998918 2.02 0.58 0.8111109999999999 314.983333 7.3831940000000005 21.666667 1.013333 58.333332999999996 9.826667 16.648605
As2Te3 1.164498 0.63 0.38799999999999996 1.0659999999999998 434.798 14.864 18.0 1.26 82.8 20.858 217.39733900000002
Br4Hf2 1.5397239999999999 0.86 1.54 1.203333 506.266667 13.526667000000002 0.666667 1.9733330000000002 80.0 19.653333 146.18883300000002
Cl2Os1 2.918364 2.43 1.373333 1.42 608.2 10.514167 14.0 2.106667 68.0 16.331667000000003 103.640908
Cl2Pd1 1.651635 0.63 1.373333 1.42 361.875 10.5675 4.0 2.106667 68.0 16.331667000000003 96.31729200000001
Ba2Br2Cl2 6.268366 5.09 0.756667 0.778889 159.71111100000002 13.063056 13.0 1.053333 71.666667 21.196667 31.477028999999998
Cl6Rh2 3.339496 2.38 1.8 1.47 343.975 10.891562 1.5 2.37 76.5 18.373125 104.62311899999999
O2Pt1 3.3964760000000003 2.21 1.533333 1.526667 358.5 5.538333000000001 20.666667 2.293333 45.333333 6.07 34.671849
Sb2Te3 1.18513 0.66 0.44 1.04 397.55400000000003 16.741 10.8 1.26 82.8 20.858 197.143227
Cd1Te1 1.967127 1.26 0.205 0.9475 329.22 13.564582999999999 2.0 1.05 72.0 17.381667 163.044099
Br2V1 2.46348 1.3 1.43 1.258333 452.433333 11.995 15.666667000000002 1.9733330000000002 80.0 19.653333 142.498932
Al1N1 4.099623 2.9 0.715 1.1625 249.13 7.812188000000001 3.0 1.52 60.5 8.24 29.530408
Br2Ga2O2 4.163404 2.86 0.543333 0.912222 69.278889 6.3825 9.0 1.146667 40.666667 9.826667 13.169134
Cl2O2W2 0.121396 0.01 0.36 0.995556 435.711111 5.5169440000000005 22.0 1.146667 54.0 8.165833000000001 13.691325
Hf2Te2 0.222558 0.06 0.4 0.85 807.165 14.240832999999999 10.0 1.05 87.5 17.381667 280.454734
Cl2Sn1 3.251691 2.38 1.453333 1.38 141.38 13.713332999999999 5.3333330000000005 2.106667 68.0 16.331667000000003 68.11565999999999
Te2Ti2 0.619563 0.27 0.28 0.91 665.915 12.863333 15.0 1.05 80.0 17.381667 263.299944
Br2N2Zr2 2.872796 1.82 0.57 0.814444 272.983333 7.49375 11.0 1.013333 58.333332999999996 9.826667 16.589872
I2V1 2.9283900000000003 2.57 1.23 1.158333 492.783333 16.506667 27.666666999999997 1.7733330000000003 92.666667 28.676667 190.413535
Ba1Br2 6.125558 4.96 1.676667 1.135 255.26666699999998 20.425 4.6666669999999995 1.9733330000000002 80.0 21.196667 115.696004
Cl6Ir2 3.559311 2.64 1.82 1.46 406.725 10.962812 6.5 2.37 76.5 18.373125 108.337728
H2Ni1O2 3.15342 2.24 0.9940000000000001 0.879333 124.37466699999999 2.784 5.2 1.376 26.4 3.642 4.406103
Cr2I6 2.392758 1.11 1.58 1.205 417.56875 17.529375 33.75 1.995 104.25 32.26125 189.340004
Br2O2Zr2 0.205947 0.01 0.703333 0.8588889999999999 272.066667 6.864444000000001 10.666667 1.146667 58.333332999999996 9.826667 14.827779000000001
Cl6Ti2 2.80726 2.63 1.985 1.3775 306.975 11.272812 7.25 2.37 76.5 18.373125 101.721109
Te2Zr2 0.802137 0.49 0.385 0.8575 712.665 14.489582999999998 6.0 1.05 87.5 17.381667 269.730603
Cl6Co2 1.54203 0.44 1.9 1.42 285.35 10.467188 6.0 2.37 76.5 18.373125 99.676538
C1F2Y2 1.9792 1.14 1.104 0.863333 501.866667 5.985666999999999 14.4 1.5919999999999999 76.0 12.946 20.232059
Cl4Hg2 4.894481 3.47 1.44 1.386667 96.253333 12.372098 15.333332999999998 2.106667 68.0 16.331667000000003 46.416069
Bi2Se3 1.497507 0.88 0.722 1.169 257.08 14.366 12.8 1.53 72.0 15.552 125.533033
Pt1Se2 1.951036 1.25 0.94 1.23 504.9 11.143333 3.333333 1.7 80.0 17.28 221.92548599999998
Pb1Se1 2.54613 1.81 0.11 1.22 273.6525 13.5075 24.0 1.275 73.0 14.055 135.528334
N2Sn2 0.9594530000000001 0.18 0.54 1.25 142.0325 12.013437 21.5 1.52 69.5 16.6425 28.026415000000004
As1In1 1.4945760000000001 0.81 0.2 0.99 379.9375 11.60875 8.0 1.09 71.0 12.13 154.113341
Te2Ti1 1.195117 0.75 0.886667 0.956667 564.386667 14.369444 27.333333000000003 1.4 92.0 23.175556 276.14698
Br2Ge1 3.1706380000000003 2.34 1.303333 1.321667 290.5 13.660832999999998 12.666667 1.9733330000000002 80.0 19.653333 123.155525
In2Se2 2.180748 1.43 0.385 1.0825 230.9375 12.545 7.5 1.275 71.0 12.96 114.910149
As2I6 3.161408 2.22 1.45 1.27 281.31875 18.9025 31.5 1.995 104.25 32.26125 140.52115
Cl6Y2 6.6100449999999995 5.13 2.065 1.3375 289.225 13.232187 3.0 2.37 76.5 18.373125 100.06539000000001
Bi2O2 1.74167 0.91 0.71 1.365 149.8 10.51375 37.5 1.72 74.0 16.475 24.894126
Br2Re1 1.381208 0.93 1.34 1.303333 665.1 12.269167 1.666667 1.9733330000000002 80.0 19.653333 153.594647
Se2Tl2 0.9498549999999999 0.48 0.465 1.0425 267.75 13.2075 23.5 1.275 72.5 13.455 133.070962
O2Pb1 2.3266430000000002 1.24 1.516667 1.535 118.368333 7.72 22.0 2.293333 48.666667 9.37 30.895489
As2O8Sb2 4.736004 3.42 1.9516669999999998 0.999444 122.94333300000001 5.008611 3.166667 2.293333 44.0 6.07 25.30644
Bi1Cl1Te1 2.345725 1.74 0.38 0.8088890000000001 159.851111 10.245648 22.0 1.053333 49.333333 11.587778 36.839874
Cl6In2 4.31006 2.94 1.925 1.4075 118.06875 12.219063 0.5 2.37 76.5 18.373125 58.555741000000005
Ag1In1P2S6 2.4908650000000003 1.64 1.37 0.58925 115.736 6.011293 6.6 1.548 63.0 15.472125 19.449019
Br2Sr1 6.197787 5.0 1.656667 1.145 263.6 18.865 10.666667 1.9733330000000002 80.0 19.653333 117.64036399999999
Cl2Hg1 3.654753 2.44 1.44 1.386667 96.253333 12.372098 15.333332999999998 2.106667 68.0 16.331667000000003 46.416069
Ge2N2 2.270679 1.14 0.515 1.2625 318.6125 9.443437 12.5 1.52 60.0 11.5025 29.965384999999998
I6Tl2 0.940457 0.31 1.59 1.2 217.19375 19.494375 19.5 1.995 104.25 32.26125 96.347925
Ge2S2 1.1570340000000001 0.73 0.285 1.1475 399.94 12.197969 8.0 1.29 60.0 12.893436999999999 147.04058899999998
I2Mg1 4.697951 3.64 1.336667 1.105 282.783333 18.153333 31.333333000000003 1.7733330000000003 92.666667 28.676667 140.29686999999998
Ge1Se2 0.16187 0.01 1.03 1.185 366.566667 12.474167 12.0 1.7 80.0 17.28 181.39238
Cl2N2Zr2 3.026459 1.91 0.61 0.836667 262.516667 6.940139 11.0 1.053333 58.333332999999996 8.165833000000001 15.043571
Br2Sn1 2.960273 2.17 1.32 1.313333 172.78 15.374167000000002 6.6666669999999995 1.9733330000000002 80.0 19.653333 86.333465
Br2Ga2Se2 1.481455 0.74 0.383333 0.813333 118.07888899999999 8.250833 1.333333 0.986667 40.666667 9.826667 36.679092
Ca1I2 4.389752 3.31 1.44 1.053333 314.783333 20.633333 28.666666999999997 1.7733330000000003 92.666667 28.676667 152.252078
Cl2Pb1 4.468724 3.51 1.33 1.441667 157.30166699999998 12.850833 16.0 2.106667 68.0 16.331667000000003 72.800441
Br2Rh2S2 1.069609 0.47 0.226667 0.8688889999999999 321.24 7.656319 9.666667 0.986667 47.333333 9.826667 49.13388
Cl2Ga2O2 5.711169 4.26 0.543333 0.934444 58.812222 5.828889 7.6666669999999995 1.146667 40.666667 8.165833000000001 12.175674
Re2Te2 0.160186 0.01 0.1 1.0 1045.415 12.354583 11.5 1.05 75.5 17.381667 298.88620099999997
Br2Zr1 1.385669 0.86 1.53 1.208333 443.266667 13.6925 10.0 1.9733330000000002 80.0 19.653333 141.78132
Br6V2 1.418675 1.1 1.8125 1.31375 372.55 12.68125 20.5 2.22 90.0 22.11 146.01431000000002
Br2Mg1 4.8638699999999995 3.75 1.536667 1.205 242.433333 13.641667000000002 19.333333 1.9733330000000002 80.0 19.653333 112.44025800000001
Cl4Zr2 1.376439 0.59 1.6633330000000002 1.275 411.866667 12.031667 2.0 2.106667 68.0 16.331667000000003 98.51214
Ga2Te2 2.100177 1.41 0.145 0.9775 256.3925 13.405207999999998 10.5 1.05 69.0 17.381667 106.721599
Te2W1 1.462067 1.04 0.613333 1.0933329999999999 856.72 14.262777999999999 10.0 1.4 92.0 23.175556 346.311604
Bi2Se2Te1 1.4820799999999998 0.91 0.6 0.749333 186.630667 10.166889 22.8 1.02 59.2 13.18 60.34339
Sb3Si1 0.18152000000000001 0.01 1.0625 1.00625 549.7925 14.39 34.75 1.5375 104.25 23.67 259.98618700000003
Mo2O2 0.190398 0.01 0.64 1.4 737.7 6.19875 17.0 1.72 77.0 7.845 26.891147999999998
Mg2P2Se6 3.223495 2.03 1.268 0.743333 181.48666699999998 8.214683 18.0 1.53 72.0 15.552 40.735031
Br2Cr2O2 2.825587 1.43 0.593333 0.8955559999999999 277.844444 5.530556 9.0 1.146667 46.333333 9.826667 14.835177
Se2W2 0.029899000000000002 0.01 0.095 1.2275 1047.25 10.4925 20.0 1.275 81.0 12.96 217.871807
Bi2I6 3.190741 2.39 1.49 1.25 213.11875 20.249375 19.0 1.995 104.25 32.26125 92.642514
O2Sn1 2.064934 0.81 1.64 1.473333 102.446667 8.5825 11.333333 2.293333 46.333333 11.095 30.019288
Cl2In2O2 4.123176 2.73 0.553333 0.931111 72.905556 6.429167 13.666667000000002 1.146667 47.333333 8.165833000000001 12.625012
In2S2 2.4726790000000003 1.64 0.4 1.09 204.5275 12.511719 16.5 1.29 71.0 12.893436999999999 102.001999
Br6Os2 1.416139 0.8 1.67 1.385 512.925 12.81625 7.25 2.22 90.0 22.11 160.610981
Se2Sn1 0.626259 0.06 1.046667 1.176667 248.846667 14.1875 6.0 1.7 80.0 17.28 111.407078
Fe1Ga2S4 2.669816 1.89 1.212857 0.7509520000000001 189.06 7.21869 5.428571 1.474286 60.0 14.735357 50.185728999999995
Br2Cr2S2 2.403195 0.75 0.43333299999999997 0.8 314.90666699999997 7.384097 6.3333330000000005 0.986667 46.333333 9.826667 49.049374
C16Cl8Ge2H48N4 4.167701 3.15 1.302308 0.481692 168.944308 1.8175 1.384615 1.3538459999999999 19.076923 4.070769 1.939659
Bi1O2 1.97976 0.42 1.62 1.483333 109.0 8.526667 22.333333 2.293333 49.333333 10.983333 30.410928000000002
C1Cr2H2O2 0.969593 0.15 0.618571 0.6125 297.165 2.123571 6.571428999999999 0.982857 39.714286 3.197143 3.153314
Cl2S2Tl2 1.0022280000000001 0.12 0.513333 0.817778 126.32888899999999 8.577153 21.666667 1.053333 48.333333 8.97 32.88758
O2Rh1 0.066322 0.01 1.533333 1.526667 391.1 5.308333 9.666667 2.293333 47.333333 6.07 34.827011999999996
Cl6Tl2 3.498379 2.38 1.965 1.3875 136.475 12.550312 7.5 2.37 76.5 18.373125 68.016029
Pb1S2 1.3259530000000002 0.71 0.943333 1.248333 229.555 13.280625 16.666667 1.72 70.0 17.19125 112.900999
Ir2O2 0.375577 0.15 0.62 1.41 698.45 5.82875 34.5 1.72 70.5 7.105 26.862553000000002
Cl6Cr2 3.523239 2.51 1.955 1.3925 336.85 10.585312 6.75 2.37 76.5 18.373125 104.113849
